katedra,zkratka,rok,nazev,nazevDlouhy,garanti,garantiSPodily
KGEO,0099,2024,VK - Geodetické metody v geografii,Geodetické metody v geografii,"",""
CNB,BP2,2024,Bakalářská práce II,Bakalářská práce II,"",""
KFY,BP2,2024,Bakalářská práce II,Bakalářská práce II,"",""
KCH,DP,2024,Diplomová práce,Diplomová práce,"",""
KBI,E100,2024,Human Evolutionary Psychology,Evoluční psychologie člověka,"",""
KBI,E101,2024,Sociobiology,Sociobiologie,"",""
KMA,E101,2024,Advanced statistical methods,Advanced statistical methods,"",""
KMA,K505,2024,Komplexní analýza,Komplexní analýza,"",""
KCH,K600,2024,Bakalářská práce z chemie,Bakalářská práce z chemie,"",""
KFY,K600,2024,Bakalářská práce z fyziky,Bakalářská práce z fyziky,"",""
KBI,K605,2024,Bakalářská práce z biologie,Bakalářská práce z biologie,"",""
KFY,KA00,2024,Diplomová práce fyziky,Diplomová práce,"",""
KCH,KA00,2024,Diplomová práce z chemie,Diplomová práce z chemie,"",""
KBI,KB103,2024,Obecná botanika,Obecná botanika,"",""
KCH,KN117,2024,Anorganická chemie Nmgr.,Anorganická chemie Nmgr.,"",""
KCH,M101,2024,Semestrální projekt,Semestrální projekt,"",""
KBI,M300,2024,Diplomová práce II,Diplomová práce II,"",""
KFY,MD,2024,Molekulární dynamika,Molekulární dynamika,"",""
KCH,N300,2024,Odborná praxe,Odborná praxe,"",""
KCH,N302,2024,Práce na diplomové práci,Práce na diplomové práci,"",""
CNB,NADP2,2024,Diplomová práce II,Diplomová práce II,"",""
KFY,NADP2,2024,Diplomová práce II,Diplomová práce II,"",""
KFY,P514,2024,Teorie relativity,Teorie relativity,"",""
KFY,P600,2024,Bakalářská práce z fyziky,Bakalářská práce z fyziky,"",""
KBI,P600,2024,Bakalářská práce z biologie,Bakalářská práce,"",""
KBI,PB103,2024,Obecná botanika,Obecná botanika,"",""
KFY,PD102,2024,Výzkumná mobilita,Výzkumná mobilita,"",""
KBI,SZZ03,2024,Biologie,Biologie,"",""
KFY,SZZ20,2024,SZZ - Fyzika s didaktikou pro SŠ,Fyzika s didaktikou pro SŠ,"",""
KCH,SZZ20,2024,Chemie a didaktika chemie pro SŠ,Chemie a didaktika chemie pro SŠ,"",""
KBI,SZZ20,2024,Biologie s didaktikou pro SŠ,Biologie s didaktikou pro SŠ,"",""
KGEO,SZZ20,2024,Geografie krajiny a GIS,Geografie krajiny a GIS,"",""
KFY,SZZ2O,2024,Fyzika pro vzdělávání,Fyzika pro vzdělávání,"",""
KBI,SZZ2O,2024,Biologie pro vzdělávání,Biologie pro vzdělávání,"",""
KMA,SZZ2O,2024,Matematika pro vzdělávání,Matematika pro vzdělávání,"",""
KCH,SZZ2O,2024,Chemie pro vzdělávání,Chemie pro vzdělávání,"",""
KGEO,SZZ2O,2024,Geografie pro vzdělávání,Geografie pro vzdělávání,"",""
KFY,SZZ30,2024,Fyzika,Fyzika,"",""
KBI,SZZ30,2024,SZZ - Biologie,Biologie,"",""
KCH,SZZ30,2024,Analytická chemie,Analytická chemie,"",""
KFY,SZZ60,2024,Fyzika,Fyzika,"",""
KI,SZZ60,2024,SZZ - Informatika,Informatika,"",""
KBI,SZZ60,2024,Biologie,Biologie,"",""
KGEO,SZZ60,2024,SZZ - Geografie,Geografie,"",""
KMA,SZZ60,2024,Matematika,Matematika,"",""
KCH,SZZ60,2024,Chemie,Chemie,"",""
KBI,SZZM3,2024,"Ap. biolog., ekolog. a ochrana biodiver.","Aplikovaná biologie, ekologie a ochrana biodiverzity","",""
KFY,SZZN1,2024,Obecná fyzika a chemie,Obecná fyzika a chemie,"",""
KCH,SZZN1,2024,Aplikovaná chemie,Aplikovaná chemie,"",""
KCH,SZZN2,2024,"Syntéza, technologie a analýza","Syntéza, technologie a analýza chemických látek a materiálů","",""
KFY,SZZN2,2024,Nanotechnologie a nanomateriály,"Nanotechnologie a nanomateriály, jejich příprava a charakterizace","",""
KBI,SZZSŠ,2024,Učitelství biologie pro střední školy,Učitelství biologie pro střední školy,"",""
KCH,SZZSŠ,2024,Učitelství chemie pro střední školy,Učitelství chemie pro střední školy,"",""
KFY,SZZSŠ,2024,Učitelství fyziky pro střední školy,Učitelství fyziky pro střední školy,"",""
KGEO,SZZSŠ,2024,Učitelství geografie pro střední školy,Učitelství geografie pro střední školy,"",""
KMA,SZZSŠ,2024,Učitelství matematiky pro střední školy,Učitelství matematiky pro střední školy,"",""
KI,SZZSŠ,2024,Učitelství informatiky pro střední školy,Učitelství informatiky pro střední školy,"",""
