katedra;zkratka;rok;nazev;nazevDlouhy;garanti;garantiSPodily
CNB;BP2;2024;Bakaláøská práce II;Bakaláøská práce II;"";""
CNB;NADP2;2024;Diplomová práce II;Diplomová práce II;"";""
KBI;K605;2024;Bakaláøská práce z biologie;Bakaláøská práce z biologie;"";""
KBI;KB103;2024;Obecná botanika;Obecná botanika;"";""
KBI;M300;2024;Diplomová práce II;Diplomová práce II;"";""
KBI;P600;2024;Bakaláøská práce z biologie;Bakaláøská práce;"";""
KBI;PB103;2024;Obecná botanika;Obecná botanika;"";""
KBI;SZZ03;2024;Biologie;Biologie;"";""
KBI;SZZ20;2024;Biologie s didaktikou pro SŠ;Biologie s didaktikou pro SŠ;"";""
KBI;SZZ2O;2024;Biologie pro vzdìlávání;Biologie pro vzdìlávání;"";""
KBI;SZZ30;2024;SZZ - Biologie;Biologie;"";""
KBI;SZZ60;2024;Biologie;Biologie;"";""
KBI;SZZM3;2024;Ap. biolog., ekolog. a ochrana biodiver.;Aplikovaná biologie, ekologie a ochrana biodiverzity;"";""
KBI;SZZSŠ;2024;Uèitelství biologie pro støední školy;Uèitelství biologie pro støední školy;"";""
KCH;BP;2024;Bakaláøská práce;Bakaláøská práce;"";""
KCH;DP1;2024;Diplomová práce I;Diplomová práce I;"";""
KCH;KN117;2024;Anorganická chemie Nmgr.;Anorganická chemie Nmgr.;"";""
KCH;M101;2024;Semestrální projekt;Semestrální projekt;"";""
KCH;N117;2024;Anorganická chemie Nmgr.;Anorganická chemie Nmgr.;"";""
KFY;MD;2024;Molekulární dynamika;Molekulární dynamika;"";""
KFY;SZZN1;2024;Obecná fyzika a chemie;Obecná fyzika a chemie;"";""
KFY;SZZN2;2024;Nanotechnologie a nanomateriály;Nanotechnologie a nanomateriály, jejich pøíprava a charakterizace;"";""
KGEO;0099;2024;VK - Geodetické metody v geografii;Geodetické metody v geografii;"";""
KMA;SZZ60;2024;Matematika;Matematika;"";""
