katedra,zkratka,nazev
CNB,BK502,Fyziologie živočichů a člověka
CNB,ME101,Bioanalytické metody
CNB,NA20,Bio-mikroelektromechanické systémy
CNB,BIOB,Biofyzika a bioenergetika buňky
CPPV,DOUC,Doučování
KBI,BK514,Antropologie a genetika člověka
KBI,BP204,Biometrika
KBI,E102,Ethology - biology of behaviour
KBI,E111,Molecular Biology
KBI,E123,Animal and Plant Models in Biology
KBI,KB102,Úvod do studia biologie
KBI,KN304,Seminář k diplomové práci
KBI,K303,Etologie živočichů
KBI,K504,Forenzní biologie
KBI,MA305,Biologie parazitů
KBI,N045,Výzkum obratlovců v praxi
KBI,N057,Praktická cvičení z cytogenetiky
KBI,N101,Anatomie a fyziologie člověka NMgr.
KBI,N301,Bioanalytické metody
KBI,N303,Didaktika biologie III
KBI,N305,Etologie živočichů
KBI,PB111,Didaktický seminář z biologie
KBI,PD04,Nanočástice v buňkách a tkáních
KBI,P122,Obecná zoologie
KBI,P426,Kryptogamologické terénní cvičení
KBI,P527,Ekotoxikologie
KBI,0009,VK - Bryologie
KBI,BK106,Preparace a konzervace přírodnin
KBI,E130,Wildlife management
KBI,M105,Základy fytopatologie
KBI,M401,Příprava k SZZ a obhajobě DP
KBI,N025,Geobotanika
KBI,N026,Ornitologie
KBI,N051,Ekofyziologie
KBI,P407,Filozofické problémy biologie
KBI,P425,Biologické laboratorní metody II
KFY,AP06,Plazmové metody materiálů a povrchů
KFY,CM101,Sel. parts of the theory of el. fields
KFY,CM104,English
KFY,DP3,Diplomová práce III
KFY,E130,Programming - Matlab
KFY,E293,Ion Analytic Methods
KFY,FORT2,Programování - Fortran 2
KFY,FPL,Fyzika pevných látek
KFY,KA27,Souvislá pedagogická praxe II - SŠ
KFY,KA35,Souvislá pedagogická praxe II - ZŠ
KFY,KFORT,Programování - Fortran
KFY,KMF2,Aplikace matematiky ve fyzice II
KFY,KNM1,Numerická matematika I
KFY,K107,Počítačové modelování I
KFY,K118,Mechanika
KFY,K301,Kmity a vlny. Optika.
KFY,K508,Teorie elektromagnetického pole
KFY,K517,Molekul. sim. na coarse-grained úrovni
KFY,K724,Kvantová fyzika
KFY,K725,Didaktika fyziky I - SŠ
KFY,K736,Proseminář řešení fyz. úloh A - ZŠ
KFY,M205,Teorie elektromagnetického pole
KFY,M400,Paralelní programování II
KFY,NA02,Fyzika plazmatu a plazmové technologie
KFY,NA06,Struk. látek a difr. analýza v mat. výz.
KFY,NA16,Polymerní nanomateriály
KFY,PA36,Souvislá pedagogická praxe II - SŠ
KFY,PD04,Fyzikální chemie
KFY,PD08,Moderní metody počítačové fyziky
KFY,PD304,Pokročilé metody difrakční analýzy
KFY,PD55,Přípr. a využití nanovlákenných struktur
