katedra;zkratka;cvicici;cviciciUcitIdno;jednotekCviceni;jednotkaCviceni
CCV;A7335;"";;5;HOD/SEM
CCV;A7710;"";;4;HOD/SEM
CCV;A7712;"";;5;HOD/SEM
CCV;G7339;"";;5;HOD/SEM
CCV;T7714;"";;4;HOD/SEM
CJP;0331;"";;2;HOD/TYD
CJP;0337;"";;2;HOD/TYD
CJP;0338;"";;2;HOD/TYD
CJP;7015;"";;2;HOD/TYD
CNB;EXK;"";;1;HOD/TYD
KAJ;7110;"";;1;HOD/TYD
KAJ;7511;"";;2;HOD/TYD
KAJ;E006;"";;1;HOD/TYD
KAJ;E008;"";;4;HOD/TYD
KAJ;E019;"";;2;HOD/TYD
KAJ;Q511;"";;2;HOD/TYD
KBI;ICT2;"";;2;HOD/TYD
KBI;IT2;"";;2;HOD/TYD
KBI;KIT2;"";;12;HOD/SEM
KBI;M300;"";;3;HOD/TYD
KBO;E001;"";;2;HOD/TYD
KBO;E002;"";;2;HOD/TYD
KBO;E003;"";;2;HOD/TYD
KCH;DP1;"";;5;HOD/TYD
KCH;M101;"";;5;HOD/TYD
KDE;FU057;"";;14;HOD/TYD
KDT;838;"";;1;HOD/TYD
KDT;839;"";;1;HOD/TYD
KDT;890;"";;2;HOD/TYD
KE;PPEK9;"";;8;HOD/SEM
KECHT;1SDP2;"";;2;HOD/TYD
KECHT;3SBO1;"";;16;HOD/SEM
KECHT;3SBO2;"";;10;HOD/SEM
KECHT;3SBP1;"";;2;HOD/TYD
KECHT;4SBP1;"";;8;HOD/SEM
KECHT;4SBP2;"";;8;HOD/SEM
KECHT;4SDP1;"";;8;HOD/SEM
KECHT;4SDP2;"";;8;HOD/SEM
KECHT;5ODPX;"";;3;TYD/SEM
KECHT;5POLU;"";;1;HOD/TYD
KEO;FU085;"";;6;HOD/TYD
KF;ZTF9;"";;5;DNU/SEM
KFHS;BAPP;"";;1;TYD/SEM
KFHS;K420;"";;3;TYD/SEM
KFHS;K429;"";;3;TYD/SEM
KFHS;KBAPP;"";;1;TYD/SEM
KFO;055;"";;1;HOD/TYD
KFO;057;"";;1;HOD/TYD
KFO;562;"";;1;HOD/TYD
KFO;563;"";;1;HOD/TYD
KFY;BK201;"";;4;HOD/SEM
KGEO;0099;"";;3;HOD/TYD
KGEO;B308;"";;2;HOD/TYD
KGEO;BK100;"";;4;HOD/SEM
KGEO;E100;"";;5;DNU/SEM
KGEO;E101;"";;5;DNU/SEM
KGI;1SDP2;"";;2;HOD/TYD
KGI;3SBO1;"";;16;HOD/SEM
KGI;3SBO2;"";;10;HOD/SEM
KGI;3SBP1;"";;2;HOD/TYD
KGI;4SBP1;"";;8;HOD/SEM
KGI;4SBP2;"";;8;HOD/SEM
KGI;4SDP1;"";;8;HOD/SEM
KGI;4SDP2;"";;8;HOD/SEM
KGI;5AGZP;"";;2;HOD/TYD
KGI;5DROV;"";;2;HOD/TYD
KGI;5DWG;"";;2;HOD/TYD
KGI;5SDP1;"";;1;HOD/TYD
KGI;5SDP2;"";;26;HOD/SEM
KHI;PBK51;"";;5;DNU/SEM
KHV;D035;"";;4;HOD/SEM
KHV;D036;"";;4;HOD/SEM
KHV;D037;"";;4;HOD/SEM
KHV;D038;"";;4;HOD/SEM
KHV;D039;"";;4;HOD/SEM
KHV;D040;"";;30;HOD/SEM
KHV;D041;"";;25;HOD/SEM
KHV;D042;"";;15;HOD/SEM
KHV;D043;"";;10;HOD/SEM
KHV;D044;"";;5;HOD/SEM
KHV;D045;"";;5;HOD/SEM
KHV;D048;"";;35;HOD/SEM
KHV;D049;"";;35;HOD/SEM
KHV;D050;"";;35;HOD/SEM
KHV;D051;"";;40;HOD/SEM
KHV;D053;"";;12;HOD/SEM
KHV;D054;"";;40;HOD/SEM
KHV;D055;"";;15;HOD/SEM
KHV;D056;"";;21;HOD/SEM
KHV;D057;"";;15;HOD/SEM
KHV;D058;"";;20;HOD/SEM
KHV;D059;"";;25;HOD/SEM
KHV;D060;"";;15;HOD/SEM
KHV;D061;"";;20;HOD/SEM
KHV;D062;"";;25;HOD/SEM
KHV;D063;"";;10;HOD/SEM
KHV;D064;"";;20;HOD/SEM
KHV;D065;"";;25;HOD/SEM
KHV;D066;"";;30;HOD/SEM
KHV;D067;"";;20;HOD/SEM
KHV;D068;"";;15;HOD/SEM
KHV;D069;"";;30;HOD/SEM
KHV;D073;"";;12;HOD/SEM
KHV;PH018;"";;35;HOD/SEM
KHV;PH019;"";;35;HOD/SEM
KHV;PH020;"";;12;HOD/SEM
KHV;PH025;"";;40;HOD/SEM
KHV;PH026;"";;15;HOD/SEM
KHV;PH027;"";;21;HOD/SEM
KHV;PH028;"";;15;HOD/SEM
KHV;PH029;"";;20;HOD/SEM
KHV;PH030;"";;25;HOD/SEM
KHV;PH031;"";;15;HOD/SEM
KHV;PH032;"";;20;HOD/SEM
KHV;PH033;"";;25;HOD/SEM
KHV;PH034;"";;20;HOD/SEM
KHV;PH035;"";;25;HOD/SEM
KHV;PH036;"";;30;HOD/SEM
KHV;PH037;"";;20;HOD/SEM
