katedra,zkratka,prednasejici,prednasejiciUcitIdno,jednotekPrednasek,jednotkaPrednasky
KBI,0023,"",,2,HOD/TYD
KPRF,0101,"",,2,HOD/TYD
KGEO,0159,"",,1,HOD/TYD
KGEO,B210,"",,2,HOD/TYD
KGEO,B414,"",,2,HOD/TYD
KBI,BK201,"",,6,HOD/SEM
KBI,BP201,"",,3,HOD/TYD
KI,BTE,"",,1,HOD/TYD
KBI,E100,"",,2,HOD/TYD
KBI,E101,"",,1,HOD/TYD
KBI,E105,"",,2,HOD/TYD
KBI,K201,"",,8,HOD/SEM
KFY,K410,"",,12,HOD/SEM
KBI,K607,"",,4,HOD/SEM
KFY,K607,"",,12,HOD/TYD
KFY,K608,"",,6,HOD/SEM
KFY,K609,"",,4,HOD/SEM
KI,KOOD,"",,2,HOD/SEM
KI,KVICT,"",,4,HOD/SEM
KCH,M104,"",,2,HOD/TYD
KBI,MA207,"",,1,HOD/TYD
CNB,ME204,"",,6,HOD/SEM
KFY,NA14,"",,1,HOD/TYD
KMA,NME,"",,3,HOD/TYD
KI,OOD,"",,1,HOD/TYD
KBI,P201,"",,3,HOD/TYD
KBI,P202,"",,2,HOD/TYD
KBI,P210,"",,3,HOD/TYD
KCH,P402,"",,2,HOD/TYD
KFY,P514,"",,2,HOD/TYD
KBI,P609,"",,2,HOD/TYD
KBI,P618,"",,3,HOD/TYD
