katedra;zkratka;prednasejici;prednasejiciUcitIdno;jednotekPrednasek;jednotkaPrednasky
CCV;H7333;"";;3;HOD/SEM
CCV;PMV06;"";;20;HOD/SEM
CCV;PMV13;"";;20;HOD/SEM
CCV;T3110;"";;3;HOD/SEM
CCV;U09;"";;12;HOD/SEM
CCV;U10;"";;8;HOD/SEM
CCV;U12EP;"";;30;HOD/SEM
KAJ;7014;"";;1;HOD/TYD
KAJ;7612;"";;2;HOD/SEM
KAJ;7713;"";;4;HOD/SEM
KAJ;7731;"";;2;HOD/SEM
KAJ;E003;"";;1;HOD/TYD
KAPV;KBA14;"";;2;HOD/SEM
KAPV;KBA32;"";;2;HOD/SEM
KBI;BK201;"";;6;HOD/SEM
KBI;BP201;"";;3;HOD/TYD
KBI;P201;"";;3;HOD/TYD
KBO;7014;"";;1;HOD/TYD
KBO;7412;"";;1;HOD/TYD
KBO;PHK02;"";;8;HOD/SEM
KBO;PHK08;"";;8;HOD/SEM
KBO;PHK17;"";;8;HOD/SEM
KBO;Q014;"";;1;HOD/TYD
KDE;778;"";;2;HOD/TYD
KDE;779;"";;2;HOD/TYD
KDE;FU003;"";;3;HOD/TYD
KDE;FU015;"";;4;HOD/TYD
KDE;FU039;"";;3;HOD/TYD
KDT;838;"";;1;HOD/TYD
KDT;839;"";;1;HOD/TYD
KDT;FU075;"";;2;HOD/TYD
KDT;FU113;"";;2;HOD/TYD
KE;RKFE9;"";;9;HOD/SEM
KECHT;3OPAV;"";;7;HOD/SEM
KEO;FU072;"";;1;HOD/TYD
KF;CHFK9;"";;10;HOD/SEM
KF;FZ3K9;"";;10;HOD/SEM
KF;RPF9;"";;10;HOD/SEM
KF;TVF19;"";;10;HOD/SEM
KFHS;B305;"";;1;HOD/TYD
KFHS;B312;"";;1;HOD/TYD
KFHS;B320;"";;1;HOD/TYD
KFHS;KB302;"";;4;HOD/SEM
KFHS;KB304;"";;4;HOD/SEM
KGER;DR2;"";;1;HOD/TYD
KGER;DRNJ2;"";;1;HOD/TYD
KGER;KN04;"";;1;HOD/SEM
KGER;KN05;"";;1;HOD/SEM
KGER;KN08;"";;1;HOD/SEM
KGER;KN09;"";;1;HOD/SEM
KGER;KNL3;"";;4;HOD/SEM
KGER;KRS3;"";;2;HOD/SEM
KGER;KSDP1;"";;2;HOD/SEM
KGER;TK;"";;1;HOD/TYD
KGER;TLS;"";;1;HOD/TYD
KGI;4SBA1;"";;8;HOD/SEM
KGI;5PAPD;"";;1;HOD/TYD
KGI;6ANPD;"";;10;HOD/SEM
KGI;6GIAJ;"";;8;HOD/SEM
KGI;6PSTA;"";;10;HOD/SEM
KH1;7333;"";;3;HOD/SEM
KH1;7930;"";;2;HOD/SEM
KH1;7932;"";;2;HOD/SEM
KH1;7934;"";;2;HOD/SEM
KH1;7936;"";;2;HOD/SEM
KH1;Q934;"";;2;HOD/SEM
KHI;D06M;"";;2;HOD/SEM
KHI;KBH54;"";;8;HOD/SEM
KHI;PBH54;"";;2;HOD/TYD
KHV;71313;"";;1;HOD/TYD
KHV;7535;"";;1;HOD/TYD
KHV;D032;"";;10;HOD/SEM
KHV;D033;"";;10;HOD/SEM
KHV;D046;"";;10;HOD/SEM
KHV;PHK01;"";;4;HOD/SEM
KHV;PHK04;"";;4;HOD/SEM
KHV;PHK08;"";;4;HOD/SEM
KHV;PHK09;"";;4;HOD/SEM
KHV;PHK10;"";;4;HOD/SEM
KHV;PHK11;"";;4;HOD/SEM
KHV;PHK12;"";;30;HOD/SEM
KHV;PHK13;"";;25;HOD/SEM
KHV;PHK14;"";;5;HOD/SEM
KHV;PHK15;"";;10;HOD/SEM
KHV;PHK16;"";;15;HOD/SEM
KHV;PHK17;"";;5;HOD/SEM
KHV;PHK18;"";;35;HOD/SEM
KHV;PHK19;"";;35;HOD/SEM
KHV;PHK20;"";;12;HOD/SEM
KHV;PHK21;"";;6;HOD/SEM
KHV;PHK22;"";;4;HOD/SEM
KHV;PHK23;"";;6;HOD/SEM
KHV;PHK24;"";;6;HOD/SEM
KHV;PHK25;"";;40;HOD/SEM
KHV;PHK26;"";;15;HOD/SEM
KHV;PHK27;"";;21;HOD/SEM
KHV;PHK28;"";;15;HOD/SEM
KHV;PHK29;"";;20;HOD/SEM
KHV;PHK30;"";;25;HOD/SEM
KHV;PHK31;"";;8;HOD/SEM
KHV;PHK32;"";;10;HOD/SEM
KHV;PHK33;"";;12;HOD/SEM
KHV;PHK34;"";;10;HOD/SEM
KHV;PHK35;"";;12;HOD/SEM
KHV;PHK36;"";;15;HOD/SEM
KHV;PHK37;"";;10;HOD/SEM
KHV;PHK38;"";;5;HOD/SEM
KHV;PHK39;"";;10;HOD/SEM
KO;OIV9;"";;6;HOD/SEM
KO;OIVK9;"";;8;HOD/SEM
KPAD;7990;"";;4;HOD/SEM
KPAD;Q990;"";;4;HOD/SEM
KPG;4238;"";;1;HOD/TYD
KPOL;B404;"";;1;HOD/TYD
KPR;7111;"";;1;HOD/TYD
KPR;7132;"";;1;HOD/TYD
KPR;7311;"";;5;HOD/SEM
KPR;7332;"";;3;HOD/SEM
KPR;7811;"";;1;HOD/TYD
KPR;7911;"";;4;HOD/SEM
KPR;7912;"";;4;HOD/SEM
KPR;7917;"";;4;HOD/SEM
KPR;79310;"";;2;HOD/SEM
KPR;79311;"";;2;HOD/SEM
KPR;7933;"";;2;HOD/SEM
KPR;7934;"";;2;HOD/SEM
KPR;79511;"";;2;HOD/SEM
KPR;79512;"";;2;HOD/SEM
KPR;7953;"";;2;HOD/SEM
KPR;7954;"";;2;HOD/SEM
KPR;7957;"";;4;HOD/SEM
KPR;79711;"";;3;HOD/SEM
KPR;79713;"";;4;HOD/SEM
KPR;79714;"";;2;HOD/SEM
KPR;7972;"";;3;HOD/SEM
KPR;7976;"";;4;HOD/SEM
KPR;7994;"";;2;HOD/SEM
KPR;7998;"";;2;HOD/SEM
KPR;Q9511;"";;2;HOD/SEM
KPR;Q9512;"";;2;HOD/SEM
KPR;Q9711;"";;3;HOD/SEM
KPR;Q9713;"";;4;HOD/SEM
KPR;Q9714;"";;2;HOD/SEM
KPR;Q994;"";;2;HOD/SEM
KPR;Q998;"";;2;HOD/SEM
KPRF;0101;"";;2;HOD/TYD
KPS;7831;"";;1;HOD/TYD
KSSP;75316;"";;1;HOD/TYD
KSSP;77311;"";;4;HOD/SEM
KSSP;77316;"";;5;HOD/SEM
KSSP;7993;"";;4;HOD/SEM
KSSP;7997;"";;2;HOD/SEM
KSSP;Q7311;"";;4;HOD/SEM
KSSP;Q993;"";;4;HOD/SEM
KSSP;Q997;"";;2;HOD/SEM
KTV;7012;"";;1;HOD/TYD
KTV;7054;"";;1;HOD/TYD
KTV;7114;"";;1;HOD/TYD
KTV;71521;"";;2;HOD/TYD
KTV;73110;"";;3;HOD/SEM
KTV;7314;"";;3;HOD/SEM
