katedra;zkratka;seminarici;seminariciUcitIdno;jednotekSeminare;jednotkaSeminare
CCV;PMV04;"";;5;HOD/SEM
CCV;PMV05;"";;10;HOD/SEM
CCV;PMV12;"";;10;HOD/SEM
KE;BPEK9;"";;10;HOD/SEM
KECHT;4PRAX;"";;10;DNU/SEM
KECHT;5INTZ;"";;4;TYD/SEM
KECHT;5PRX;"";;2;TYD/SEM
KECHT;5SDI1;"";;5;HOD/SEM
KECHT;5SDP1;"";;5;HOD/SEM
KECHT;5SDP2;"";;10;HOD/SEM
KECHT;5TEVO;"";;8;HOD/SEM
KFHS;B104;"";;2;HOD/TYD
KFHS;B167;"";;2;HOD/TYD
KFHS;K405;"";;4;HOD/SEM
KFHS;K435;"";;4;HOD/SEM
KFHS;K443;"";;4;HOD/SEM
KFHS;KB312;"";;4;HOD/SEM
KFHS;KB322;"";;4;HOD/SEM
KFHS;KB350;"";;2;HOD/SEM
KFHS;P427;"";;3;HOD/TYD
KGER;KKDU1;"";;10;HOD/SEM
KGER;KLDM;"";;7;HOD/SEM
KGI;3PRXA;"";;10;DNU/SEM
KGI;4PRXA;"";;10;DNU/SEM
KGI;5DOPA;"";;13;HOD/SEM
KGI;5GSH1;"";;26;HOD/SEM
KGI;5LAS1;"";;26;HOD/SEM
KGI;5MZPG;"";;26;HOD/SEM
KGI;5PRX;"";;2;TYD/SEM
KGI;6GEKO;"";;5;HOD/SEM
KGI;6PRX;"";;5;TYD/SEM
KGI;6SDP1;"";;8;HOD/SEM
KGI;6SDP2;"";;8;HOD/SEM
KHI;PV318;"";;1;HOD/TYD
KI;KPEK;"";;2;HOD/SEM
KI;KZPS;"";;2;HOD/SEM
KO;DPSD2;"";;6;HOD/SEM
KO;DPVK9;"";;6;HOD/SEM
KO;OS1K2;"";;6;HOD/SEM
KO;PDPV9;"";;6;HOD/SEM
KVV;PH047;"";;3;HOD/SEM
KVV;PHK47;"";;3;HOD/SEM
KZP;0ENGE;"";;8;HOD/SEM
KZP;3BIM1;"";;8;HOD/SEM
KZP;3PEOP;"";;8;HOD/SEM
KZP;4AKRE;"";;8;HOD/SEM
KZP;4BIM1;"";;10;HOD/SEM
KZP;5ENVP;"";;2;TYD/SEM
KZP;5REVV;"";;10;HOD/SEM
KZP;6ENVP;"";;2;TYD/SEM
KZP;6REVV;"";;5;HOD/SEM
KZR;FT13;"";;28;HOD/SEM
KZR;RT1R2;"";;8;HOD/SEM
KZR;RT3R2;"";;14;HOD/SEM
UTM;PV095;"";;2;HOD/TYD
UTM;PY102;"";;3;HOD/TYD
UTM;PY121;"";;1;HOD/TYD
UTM;PY291;"";;3;HOD/TYD
XPF;X1;"";;2;HOD/SEM
