nazev,zkratka,cviciciUcitIdno,jmena
Základy počítačové fyziky,K503,69,'prof. RNDr. Rudolf Hrach DrSc.
Fyzika pevných látek I,K839,69,'prof. RNDr. Rudolf Hrach DrSc.'
Demografie,FDEMO,130,'RNDr. Miloslav Šašek CSc.'
Demografie,5DEMO,130,'RNDr. Miloslav Šašek CSc.'
Geometrie,P335,269,'Mgr. Petr Rys'
Geometrie,K312,269,'Mgr. Petr Rys'
Fyziologie živočichů a člověka,KB502,281,'doc. MUDr. Vladislav Mareš DrSc.
Fyziologie a mol. bio. eukar. buňky I,N016,281,'doc. MUDr. Vladislav Mareš DrSc.'
Diplomová práce I,M200,281,'doc. MUDr. Vladislav Mareš DrSc.
Diplomová práce I,N028,281,'doc. MUDr. Vladislav Mareš DrSc.
Fyziologie živočichů a člověka,PB502,281,'doc. MUDr. Vladislav Mareš DrSc.
Průběžná pedagogická praxe ZŠ,P732,302,'PaedDr. Václav Heller'
Fyzikální praktikum C,K521,302,'PaedDr. Václav Heller'
Didaktická a laboratorní technika,PA31,302,'PaedDr. Václav Heller'
Souvislá pedagogická praxe II - ZŠ,KA35,302,'PaedDr. Václav Heller'
Proseminář řešení fyzikálních úloh A ZŠ,P736,302,'PaedDr. Václav Heller'
Proseminář řešení fyzikálních úloh A,P622,302,'PaedDr. Václav Heller'
Proseminář řešení fyzikálních úloh,K622,302,'PaedDr. Václav Heller'
Exkurze,P841,302,'PaedDr. Václav Heller'
Vybrané partie z fyziky,K414,306,'prof. RNDr. Stanislav Novák CSc.'
Matematický proseminář,P365,306,'prof. RNDr. Stanislav Novák CSc.'
Diplomový seminář,K505,306,'prof. RNDr. Stanislav Novák CSc.
Seminář katedry,P602,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika II,P607,307,'doc. RNDr. Dušan Novotný CSc.'
Vybrané partie z teorie elektromag. pole,PD203,307,'doc. RNDr. Dušan Novotný CSc.'
Teorie elektromagnetického pole,P508,307,'doc. RNDr. Dušan Novotný CSc.'
Vybrané partie z teoretické fyziky I,P938,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika I,K512,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika,P737,307,'doc. RNDr. Dušan Novotný CSc.'
Souhrnný seminář - počítačové modelování,SPM,307,'doc. RNDr. Dušan Novotný CSc.'
Odborný seminář katedry A,P531,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová mechanika,KM,307,'doc. RNDr. Dušan Novotný CSc.'
Seminář katedry II,PA52,307,'doc. RNDr. Dušan Novotný CSc.'
Teorie elektromagnetického pole,TEP,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika I,P509,307,'doc. RNDr. Dušan Novotný CSc.
Souhrnný seminář - počítačové modelování,KSPM,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová mechanika,KKM,307,'doc. RNDr. Dušan Novotný CSc.'
Seminář katedry I,P952,307,'doc. RNDr. Dušan Novotný CSc.'
Fyzika I,K222,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika,K724,307,'doc. RNDr. Dušan Novotný CSc.'
PVK - Vyb.partie z teoretické fyziky II,K522,307,'doc. RNDr. Dušan Novotný CSc.'
PVK - Vyb.partie z teoretické fyziky I,K422,307,'doc. RNDr. Dušan Novotný CSc.'
Seminář katedry,K602,307,'doc. RNDr. Dušan Novotný CSc.'
Vybrané partie z fyziky,P427,307,'doc. RNDr. Dušan Novotný CSc.'
Potenciál kulturní krajiny a GIS,M214,313,'doc. RNDr. Martin Balej Ph.D.
Metody geografického výzkumu krajiny,M409,313,'doc. RNDr. Martin Balej Ph.D.'
VK - Geografická exkurze v ČR (5 dní),0101,317,'doc. RNDr. Milan Jeřábek Ph.D.'
Didaktika chemie II - SŠ,KN22,336,"'prof. PhDr. Jiří Škoda Ph.D., MBA"
Dějiny chemie,KN16,336,"'prof. PhDr. Jiří Škoda Ph.D., MBA"
Didaktika chemie II - SŠ,N304,336,"'prof. PhDr. Jiří Škoda Ph.D., MBA"
Vybrané matematické metody ve fyzice,0212,605,'doc. RNDr. František Fiala'
VK-Programování ATMEL I,0175,605,'doc. RNDr. František Fiala'
Praktikum mikrovlnné techniky - aplikace,0207,605,'doc. RNDr. František Fiala'
Experimentální využití elmg. vln F,0237,605,'doc. RNDr. František Fiala'
VK- Praktikum mikrovlnné techniky D,0211,605,'doc. RNDr. František Fiala'
Experimentální využití elmg. vln B,0218,605,'doc. RNDr. František Fiala'
Řešení obvodu RLC,0214,605,'doc. RNDr. František Fiala'
Teoretická mechanika I,K305,606,'doc. RNDr. Ing. Kurt Fišer CSc.
Vybrané partie z teoretické fyziky I,P422,606,'doc. RNDr. Ing. Kurt Fišer CSc.'
Vybrané partie z teoretické fyziky II,P522,606,'doc. RNDr. Ing. Kurt Fišer CSc.'
Počítačové modelování I,K107,612,'Mgr. Dalibor Sedlák'
Počítačové modelování II,K206,612,'Mgr. Dalibor Sedlák'
Programování B,P203,612,'Mgr. Dalibor Sedlák'
Programování A,P103,612,'Mgr. Dalibor Sedlák'
Počítačové modelování III,P401,612,'Mgr. Dalibor Sedlák'
PVK - Hromadné zpracování dat,K406,612,'Mgr. Dalibor Sedlák'
VK-Fyzikální seminář,0204,612,'Mgr. Dalibor Sedlák'
Počítačové modelování II,P206,612,'Mgr. Dalibor Sedlák'
Programování A,K103,612,'Mgr. Dalibor Sedlák'
PVK - Hromadné zpracování dat,P406,612,'Mgr. Dalibor Sedlák'
Systém kvality a vyhodnocování dat,N111,719,'Ing. Václav Synek Ph.D.'
Počítač. modelování - spojité modelování,P366,816,'doc. RNDr. Jiří Felcman CSc.
VK - Exkurze z regionální geologie,0109,827,'RNDr. Vladimír Cajz CSc.'
Základy financí,ZFIN,929,'Ing. Jiří Uhman MBA'
Finanční analýza,FINA,929,'Ing. Jiří Uhman MBA'
Základy matematiky,K103,1108,'prof. RNDr. Jiří Cihlář CSc.'
Finanční analýza,FINA,1383,'Ing. František Hrdina
Statistika na PC,K516,1456,'Mgr. Ing. Jana Gabčanová'
Matematika IV,K409,1537,'prof. RNDr. Jan Malý DrSc.'
Somatologie,BK423,1546,'Mgr. Karina Vašinová Ph.D.'
Somatologie,BP423,1546,'Mgr. Karina Vašinová Ph.D.'
Obecná parazitologie,P323,1546,'Mgr. Karina Vašinová Ph.D.'
Biologie parazitů,N032,1546,'Mgr. Karina Vašinová Ph.D.'
Biologie a ekologie člověka I,P303,1546,'Mgr. Karina Vašinová Ph.D.'
Ekofyziologie,N051,1546,'Mgr. Karina Vašinová Ph.D.'
Obecná zoologie,K110,1546,'Mgr. Karina Vašinová Ph.D.'
"Met. analýz mat. 
využ. el. mikroskopie",AP03,1590,'RNDr. Jan Lorinčík CSc.'
Komplexní analýza materiálů,PD202,1590,'RNDr. Jan Lorinčík CSc.'
Kvantová fyzika I,P509,1590,'RNDr. Jan Lorinčík CSc.
Metody analýz materiálů,AP05,1590,'RNDr. Jan Lorinčík CSc.'
Metody molekulární biologie,N023,1986,'Mgr. Jana Čejnová
Metody molekulární biologie,ME200,1986,'Mgr. Jana Čejnová
Limnobiologie,BK108,1999,'RNDr. Blanka Desortová CSc.
Limnobiologie,P328,1999,'RNDr. Blanka Desortová CSc.'
Environmentální legislativa,P525,1999,'RNDr. Blanka Desortová CSc.'
Limnobiologie,P528,1999,'RNDr. Blanka Desortová CSc.'
Limnobiologie,K311,1999,'RNDr. Blanka Desortová CSc.'
Algologie,P420,1999,'RNDr. Blanka Desortová CSc.'
Environmentální legislativa,K507,1999,'RNDr. Blanka Desortová CSc.'
Algologie,N036,1999,'RNDr. Blanka Desortová CSc.'
Didaktika geografie I,M105,2232,'Mgr. Zuzana Pavlasová'
Didaktika geografie I,N001,2232,'Mgr. Zuzana Pavlasová'
Labor. Techniq. in Mol. and Cell Biology,E121,2441,'Mgr. Alena Semerádtová Ph.D.
Microscopy Techniques in Biology,E120,2441,'Mgr. Alena Semerádtová Ph.D.
Eliminace polutantů z fluidních systémů,N021,2450,'Ing. Jaroslav Líbal CSc.'
Anglický jazyk II,K411,2591,'Mgr. Eva Havlíková'
Biologie a ekologie člověka I,P303,2757,'Mgr. Kateřina Radana Drbalová
Souvislá pedagogická praxe I SŠ,P706,2757,'Mgr. Kateřina Radana Drbalová'
VK-Česká republika a EU,0116,2758,"'doc. Dr. phil. Mgr. Lukáš Novotný Ph.D., M.A.'"
Geospatial data: sources and analysis,PD107,2787,'doc. Ing. Jan Pacina Ph.D.'
VK - Konverzace němčiny pro geografy,0130,2812,'Mgr. Tomáš Křenek Dr. Phil.'
VK-Němčina pro geografy,0126,2812,'Mgr. Tomáš Křenek Dr. Phil.'
Metody molekulární biologie,N023,2997,'RNDr. Petr Štolba'
Metody molekulární biologie,ME200,2997,'RNDr. Petr Štolba'
Medicína katastrof,P518,3066,'prof. PharmDr. Jana Žďárová-Karasová Ph.D.'
Technologie ochrany životního prostředí,P414,3175,'Ing. Stanislav Hejda Ph.D.
Toxikologie rostl. a živočišných toxinů,P534,3176,'PharmDr. Markéta Švarcová Ph.D.'
Ekotoxikologie,N109,3176,'PharmDr. Markéta Švarcová Ph.D.
Počítačová kriminalita,0141,3458,'Ing. Toni Koluch Ph.D.'
Welfare Assessment of zoo animals,E133,3796,'Ing. Petra Padalíková'
Preparace a konzervování přírodnin II,K403,3797,'Mgr. Ivan Táborský'
Preparace a konzervování přírodnin II,P419,3797,'Mgr. Ivan Táborský'
Preparace a konzervování přírodnin II,P416,3797,'Mgr. Ivan Táborský'
Preparace a konzervování přírodnin II,K403,3798,'Bc. Jaroslav Bažant
Preparace a konzervování přírodnin II,P419,3798,'Bc. Jaroslav Bažant
Preparace a konzervování přírodnin II,P416,3798,'Bc. Jaroslav Bažant
Funkce a struktura buněčných membrán,0088,4175,'RNDr. Hana Sychrová DrSc.'
Základy receptorové neurofyziologie,0089,4176,'RNDr. Viktorie Vlachová DrSc.'
