garantiUcitIdno;katedra;zkratka;prednasejiciUcitIdno;cviciciUcitIdno;seminariciUcitIdno;jednotekPrednasek;jednotekCviceni;jednotekSeminare
1644;KRRVS;5UVDR;6897;;;2;0;0
1644;KRRVS;5UVDR;6897;;;2;0;0
923;KEMA;MAPMA;6009;6009;;2;2;0
923;KEMA;MAPMA;6009;6009;;2;2;0
1904;KSP;GUFIL;;3097,682;;0;8;0
125;KMI;KINFO;;9488,1456,3107,9546,8684,518;;0;8;0
125;KMI;KINFO;;9488,1456,3107,9546,8684,518;;0;8;0
4861;KSP;W0072;;6447;;0;2;0
125;KMI;PINFO;;1456,9546,8684,518;;0;2;0
125;KMI;PINFO;;1456,9546,8684,518;;0;2;0
125;KMI;PINFO;;1456,9546,8684,518;;0;2;0
1632;KSP;GSPPG;;3647;;0;8;0
36;KCJ;GAJ11;;8982,9499;;0;8;0
6120;KFU;5FVVS;929;929;;2;2;0
3555;KFU;X0002;929;929;;0;8;0
2937;KSP;GANSP;24;24;;0;8;0
2937;KSP;GANSP;24;24;;0;8;0
36;KCJ;GAJG3;;8982,9499;;0;8;0
4151;KPP;KZPRA;;2238,4443;;0;8;0
1632;KSP;6SPPG;3647;;;2;0;0
6120;KFU;FFVVS;;929;;0;16;0
1644;KRRVS;FUVDR;;6897;;0;8;0
1644;KRRVS;FUVDR;;6897;;0;8;0
36;KCJ;6AJ11;;8982,9499;;0;2;0
6773;KFU;MVFRR;6120;6120;;2;2;0
476;KRRVS;5UZSS;2142;2142;;2;2;0
9493;KPP;PZPRA;4151;5110,4151,2238,4443;;1;1;0
9493;KPP;PZPRA;4151;5110,4151,2238,4443;;1;1;0
1644;KRRVS;MINMA;7644,6897;7644,6897;;2;1;0
1644;KRRVS;MINMA;7644,6897;7644,6897;;2;1;0
2937;KSP;6ANSP;24;;;2;0;0
2937;KSP;6ANSP;24;;;2;0;0
1644;KRRVS;MGLRE;5457;8036,5457;;2;2;0
9501;KFU;W0002;929;;;2;0;0
2142;KRRVS;MDSRR;;1644,4747;1644;0;2;0
2142;KRRVS;MDSRR;;1644,4747;1644;0;2;0
4689;KEMA;KMIKR;;8119;;0;16;0
36;KCJ;6AJ63;;8982,9499;;0;2;0
9279;KSP;GPCHP;;9132;;0;16;0
4689;KEMA;FMIKR;;8119;;0;16;0
476;KRRVS;FUZSS;;2142;;0;16;0
3402;KSP;6PRXI;;3097;;0;8;0
4625;KRRVS;FVESP;;2142;;0;12;0
4625;KRRVS;FVESP;;2142;;0;12;0
