nazev,zkratka,prednasejiciUcitIdno,jmena
Základy počítačové fyziky,K503,69,'prof. RNDr. Rudolf Hrach DrSc.'
Základy počítačové fyziky,P503,69,'prof. RNDr. Rudolf Hrach DrSc.'
Počítačové modelování IV,K403,69,'prof. RNDr. Rudolf Hrach DrSc.'
Počítačové modelování IV,P403,69,'prof. RNDr. Rudolf Hrach DrSc.'
Fyzika pevných látek I,K839,69,'prof. RNDr. Rudolf Hrach DrSc.'
Demografie,FDEMO,130,'RNDr. Miloslav Šašek CSc.'
Demografie,5DEMO,130,'RNDr. Miloslav Šašek CSc.'
Anorganická chemie,P224,198,'doc. Ing. Tomáš Loučka CSc.
Anorganická chemie Nmgr.,KN11,198,'doc. Ing. Tomáš Loučka CSc.
Anorganická chemie Nmgr.,N114,198,'doc. Ing. Tomáš Loučka CSc.
Fyziologie živočichů a člověka,KB502,281,'doc. MUDr. Vladislav Mareš DrSc.
Patobiologie živočišných buněk a tkání,N059,281,'doc. MUDr. Vladislav Mareš DrSc.'
Fyziologie živočichů a člověka,PB502,281,'doc. MUDr. Vladislav Mareš DrSc.
Fyziologie a mol. bio. eukar. buňky I,N016,281,'doc. MUDr. Vladislav Mareš DrSc.'
Fyziologie a molekul. biologie živ. buňk,ME100,281,'doc. MUDr. Vladislav Mareš DrSc.
Charakterizace materiálů I,CHM1,306,'prof. RNDr. Stanislav Novák CSc.
Úvod do počítačového modelování,KUDPM,306,'prof. RNDr. Stanislav Novák CSc.
Úvod do počítačového modelování,UDPM,306,'prof. RNDr. Stanislav Novák CSc.
Fyzikální vlastnosti tenkých vrstev,P325,306,'prof. RNDr. Stanislav Novák CSc.'
Vakuová fyzika a technika,K218,306,'prof. RNDr. Stanislav Novák CSc.'
Počítačové simulace v nanotechnologiích,PSVN,306,'prof. RNDr. Stanislav Novák CSc.
Vybrané partie z fyziky,K414,306,'prof. RNDr. Stanislav Novák CSc.'
Speciální teorie relativity,STR,307,'doc. RNDr. Dušan Novotný CSc.'
Teorie elektromagnetického pole,TEP,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová mechanika,KKM,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika II,P607,307,'doc. RNDr. Dušan Novotný CSc.'
Fyzika I,K222,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika,K724,307,'doc. RNDr. Dušan Novotný CSc.'
Vybrané partie z fyziky,P427,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika I,P509,307,'doc. RNDr. Dušan Novotný CSc.'
PVK - Vyb.partie z teoretické fyziky I,K422,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika,P737,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová mechanika,KM,307,'doc. RNDr. Dušan Novotný CSc.'
Kvantová fyzika I,K512,307,'doc. RNDr. Dušan Novotný CSc.'
Teorie relativity,P606,307,'doc. RNDr. Dušan Novotný CSc.'
Speciální teorie relativity,KSTR,307,'doc. RNDr. Dušan Novotný CSc.'
Vybrané partie z teoretické fyziky I,P938,307,'doc. RNDr. Dušan Novotný CSc.'
Fyzika,P231,307,'doc. RNDr. Dušan Novotný CSc.'
Úvod do kvantové fyziky a spektroskopie,P216,307,'doc. RNDr. Dušan Novotný CSc.'
Teorie elektromagnetického pole,P508,307,'doc. RNDr. Dušan Novotný CSc.'
Vybrané partie z teorie elektromag. pole,PD203,307,'doc. RNDr. Dušan Novotný CSc.'
Sel. parts of the theory of el. fields,CM101,307,'doc. RNDr. Dušan Novotný CSc.
Fyzika I,P213,307,'doc. RNDr. Dušan Novotný CSc.'
Teorie relativity,K606,307,'doc. RNDr. Dušan Novotný CSc.'
VK-Teorie relativity,0164,307,'doc. RNDr. Dušan Novotný CSc.'
Vybr. partie z teorie el. pole,PM101,307,'doc. RNDr. Dušan Novotný CSc.
PVK - Vyb.partie z teoretické fyziky II,K522,307,'doc. RNDr. Dušan Novotný CSc.'
Vybrané partie z kvantové fyziky,PM100,307,'doc. RNDr. Dušan Novotný CSc.'
Regional environmental change,PD103,313,'doc. RNDr. Martin Balej Ph.D.
Potenciál kulturní krajiny a GIS,M214,313,'doc. RNDr. Martin Balej Ph.D.
Krajinná ekologie,B303,313,'doc. RNDr. Martin Balej Ph.D.
Metody geografického výzkumu krajiny,M409,313,'doc. RNDr. Martin Balej Ph.D.'
Vybrané kapitoly FG Evropy,M102,313,'doc. RNDr. Martin Balej Ph.D.'
Problémové oblasti Česka,0154,314,'Mgr. Milan Bursa CSc.'
Planetární geografie,B102,316,'RNDr. Alena Chvátalová Ph.D.'
Didaktika chemie II - SŠ,KN22,336,"'prof. PhDr. Jiří Škoda Ph.D., MBA"
Didaktika chemie I,KN10,336,"'prof. PhDr. Jiří Škoda Ph.D., MBA"
Didaktika chemie II - SŠ,N304,336,"'prof. PhDr. Jiří Škoda Ph.D., MBA"
Didaktika chemie I,N115,336,"'prof. PhDr. Jiří Škoda Ph.D., MBA"
VK-Regionální geografie Portugalska,0124,451,'Mgr. Tomáš Oršulák
VK-Programování ATMEL I,0175,605,'doc. RNDr. František Fiala'
Teoretická mechanika I,K305,606,'doc. RNDr. Ing. Kurt Fišer CSc.
Vybrané partie z teoretické fyziky I,P422,606,'doc. RNDr. Ing. Kurt Fišer CSc.'
Vybrané partie z teoretické fyziky II,P522,606,'doc. RNDr. Ing. Kurt Fišer CSc.'
Programování B,P203,612,'Mgr. Dalibor Sedlák'
Systém kvality a vyhodnocování dat,N111,719,'Ing. Václav Synek Ph.D.'
Matematika pro informatiky,MAI,816,'doc. RNDr. Jiří Felcman CSc.
Počítač. modelování - spojité modelování,P366,816,'doc. RNDr. Jiří Felcman CSc.
VK - Úvod do geografie náboženství,0133,920,'doc. RNDr. Ladislav Skokan CSc.'
Kurz marketingu a managementu,PD308,1057,'Ing. Lucie Povolná Ph.D.'
Odpadové hospodářství I,P313,1067,'Ing. Miroslav Hlávka Ph.D.'
Hodnocení nebezpečných vlastností odpadů,N308,1115,'Ing. Václav Dušek
Statistika na PC,K516,1456,'Mgr. Ing. Jana Gabčanová'
Matematika IV,K409,1537,'prof. RNDr. Jan Malý DrSc.'
Matematika III,K304,1537,'prof. RNDr. Jan Malý DrSc.'
Somatologie,BP423,1546,'Mgr. Karina Vašinová Ph.D.'
Somatologie,BK423,1546,'Mgr. Karina Vašinová Ph.D.'
Parasitology,E129,1546,'Mgr. Karina Vašinová Ph.D.'
Obecná parazitologie,P323,1546,'Mgr. Karina Vašinová Ph.D.'
Biologie a ekologie člověka I,P303,1546,'Mgr. Karina Vašinová Ph.D.'
Obecná zoologie,K110,1546,'Mgr. Karina Vašinová Ph.D.'
Approaches to regional histories,PD106,1553,'doc. Mgr. Martin Veselý Ph.D.'
Logistika,LOG,1569,'Ing. Daniela Vysloužilová Ph.D.'
