katedra;zkratka;idno;typAkceZkr;rok;datumOd;datumDo;hodinaSkutOd;hodinaSkutDo;katedra_right;nazev;seminarici;seminariciUcitIdno;jmena
KMA;HIM;261;Se;2024;17.2.2025;12.5.2025;09:00;09:50;KMA;Historie matematiky;'PhDr. Magdalena Krátká, Ph.D.';425;Eisenmann Petr, doc. PaedDr. CSc.
KI;KAFJ;449;Se;2024;"";"";00:00;00:00;KI;Teorie automatù a formálních jazykù;"";;Barilla Jiøí, doc. Ing. Mgr. CSc.
KMA;KCAS;2220;Se;2024;"";"";00:00;00:00;KMA;Èasové øady;'Mgr. Alena Èerníková, MSc., Ph.D.', 'Mgr. Lucie Loukotová';9488, 3188;Škvor Jiøí, RNDr. Ph.D.
KMA;KHIM;261;Se;2024;9.5.2025;9.5.2025;09:00;12:50;KMA;Historie matematiky;'PhDr. Magdalena Krátká, Ph.D.';425;Eisenmann Petr, doc. PaedDr. CSc.
KI;KKRSP;9907;Se;2024;"";"";00:00;00:00;KI;Komplexní reflektivní semináø praxe;'RNDr. Jan Krejèí, Ph.D.';2776;Janèík Tomáš, Mgr.
KMA;KLTX;5205;Se;2024;7.3.2025;7.3.2025;09:00;12:50;KMA;Úvod do Latexu;'PhDr. Jiøí Pøibyl, Ph.D.';267;Lacková Veronika, RNDr. Ph.D.
KMA;KLTX;5205;Se;2024;4.4.2025;4.4.2025;09:00;12:50;KMA;Úvod do Latexu;'PhDr. Jiøí Pøibyl, Ph.D.';267;Lacková Veronika, RNDr. Ph.D.
KMA;KLTX;5205;Se;2024;2.5.2025;2.5.2025;09:00;12:50;KMA;Úvod do Latexu;'PhDr. Jiøí Pøibyl, Ph.D.';267;Lacková Veronika, RNDr. Ph.D.
KMA;KMSB;8987;Se;2024;21.2.2025;21.2.2025;14:00;15:50;KMA;Matematický semináø;'RNDr. Veronika Lacková, Ph.D.';5205;Bazaykin Yaroslav, doc. CSc., DSc.
KMA;KMSB;8987;Se;2024;4.4.2025;4.4.2025;14:00;15:50;KMA;Matematický semináø;'RNDr. Veronika Lacková, Ph.D.';5205;Bazaykin Yaroslav, doc. CSc., DSc.
KMA;KMSB;8987;Se;2024;2.5.2025;2.5.2025;14:00;17:50;KMA;Matematický semináø;'RNDr. Veronika Lacková, Ph.D.';5205;Bazaykin Yaroslav, doc. CSc., DSc.
KMA;KOPM;267;Se;2024;25.4.2025;25.4.2025;09:00;12:50;KMA;Odborné prezentace v matematice;'doc. PaedDr. Petr Eisenmann, CSc.';261;Pøibyl Jiøí, PhDr. Ph.D.
KI;KPDSA;251;Se;2024;7.12.2024;7.12.2024;11:00;12:50;KI;Pokroèilé datové struktury a algoritmy;"";;Fišer Jiøí, Mgr. Ph.D.
KI;KPNUM;650;Se;2024;"";"";00:00;00:00;KI;Pokroèilé numerické metody;"";;Kubera Petr, RNDr. Ph.D.
