nazev,zkratka,seminariciUcitIdno
Podnikové informační systémy,EIS,14
Podnikové informační systémy,KEIS,14
Fyzikální praktikum C,K521,302
Diplomový seminář,K505,306
Regional geography of the Czech Republic,E101,313
Reg. geography of Northwestern Bohemia,E100,313
Programování A,K103,612
Počítačové modelování I,K107,612
Počítačové modelování I,P107,612
Podnikové informační systémy,EIS,1609
Podnikové informační systémy,KEIS,1609
Identif. a hodn. ekosystémových služeb,0153,2527
Podnikové informační systémy,EIS,3457
Podnikové informační systémy,KEIS,3457
Podnikové informační systémy,EIS,3606
Podnikové informační systémy,KEIS,3606
Sociální sítě,SON,4190
Matematika I,K106,4221
Identif. a hodn. ekosystémových služeb,0153,4625
Praktické aplikace hardwaru,AHW,4746
Základy autonomní robotiky,0182,4746
Scientific inquiry and reasoning,PD101,4747
Podnikové informační systémy,EIS,4991
Podnikové informační systémy,KEIS,4991
Letní geografická škola,0158,5886
Reflektivní seminář pedagogické praxe,RSPP,8021
Reflektivní seminář pedagogické praxe,KRSPP,8021
Reflektivní seminář pedagogické praxe,KSPP,8021
Softwarové inženýrství,KSWI,8093
Softwarové inženýrství,SWI,8093
Odborná prezentace,KOPRE,8514
Odborná prezentace,OPRE,8514
Introduction to MATLAB,ITM,8514
