zkratka,katedra,rok,nazev,nazevDlouhy,maVyuku,vyukaZS,vyukaLS,jakCastoJeNabizen,jakCastoJeNabizenUpresneni,kreditu,viceZapis,minObsazeni,garanti,garantiSPodily,garantiUcitIdno,prednasejici,prednasejiciSPodily,prednasejiciUcitIdno,cvicici,cviciciSPodily,cviciciUcitIdno,seminarici,seminariciSPodily,seminariciUcitIdno,schvalujiciUznani,schvalujiciUznaniUcitIdno,examinatori,examinatoriUcitIdno,podminujiciPredmety,vylucujiciPredmety,podminujePredmety,literatura,nahrazPredmety,metodyVyucovaci,metodyHodnotici,akreditovan,jednotekPrednasek,jednotkaPrednasky,jednotekCviceni,jednotkaCviceni,jednotekSeminare,jednotkaSeminare,anotace,typZkousky,maZapocetPredZk,formaZkousky,pozadavky,prehledLatky,predpoklady,ziskaneZpusobilosti,casovaNarocnost,predmetUrl,vyucovaciJazyky,poznamka,ectsZobrazit,ectsAkreditace,ectsNabizetUPrijezdu,poznamkaVerejna,skupinaAkreditace,skupinaAkreditaceKey,zarazenDoPrezencnihoStudia,zarazenDoKombinovanehoStudia,studijniOpory,praxePocetDnu,urovenNastavena,urovenVypoctena,automatickyUznavatZppZk,hodZaSemKombForma,semestr,pocetStudentu,aMax,bMax,cMax,aSkut,bSkut,cSkut
AFJ,KI,2024,Theory of Automata and Formal Languages,Theory of Automata and Formal Languages,A,A,N,K,"",5,NO,"","'doc. Ing. Mgr. Jiří Barilla, CSc.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100)",449,"'doc. Ing. Mgr. Jiří Barilla, CSc.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100)",449,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","449, 2220","","","","","","","","","KI/AFJ1, KI/TAU","","'Chytil M. Automaty a gramatiky. SNTL, Praha, 1984. ',
'Hopocroft J., Ulman J. Introduction to Automata Theory, Languages and Computation. Addison Wesley, 1979. ',
'Chytil M. Teorie automatů a formálních jazyků. (Skripta), SPN Praha, 1978. ',
'Meduna A. Automata and Languages. Springer, 2000. ',
'Hopocroft J., Ulman J. Formálne jazyky a automaty. ALFA Bratislava, 1978. ',
'Kolář J., Štěpánková O., Chytil M. Logika, algebry a grafy. SNTL Praha, 1989. '","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"In this course, students will learn the theoretical foundations of finite automata, grammars and pushdown automata. Emphasis is placed on bridging mathematical theory with its practical implementation and on applying this theory to contemporary technologies.

",Exam,YES,Combined,zápočet písemnou formou s následnou ústní obhajobou,"1. Finite Automata (KA): representations, languages recognizable by finite automata
2. Reduction and implementation of finite automata
3. Non-deterministic finite automata
4. Grammars: Chomsky's distribution of grammars, regular grammars
5. Regular languages: closure properties, relation to KA
6. Applications of regular languages and automata: regular expressions and their types
7. Context-free grammars
8. Pushdown automata
9. Applications of context-free languages and stack automata: LR/LL syntactic parser, ANTLR
10. Turing machines: models and their properties
11. Undecidability: Church-Turing thesis, the Post correspondence problem
12. Equivalent representations of Turing machines: RASP
13. Practical applications","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Bc.,A,"",ZS,0,"","",0,0,0,0
A192,KI,2024,Computational Geometry,Computational Geometry,A,A,A,K,"",2,NO,"","'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"'RNDr. Jiří Škvor, Ph.D.'","'RNDr. Jiří Škvor, Ph.D.' (100)",2220,"","","","","","","","","","","",KI/0192,"","",A,1,HOD/TYD,1,HOD/TYD,0,HOD/TYD,The course focuses on selected algorithms of computational geometry and their practical applications.,Pre-Exam Credit,NO,Combined,20-minute presentation of selected algorithm,"1.	Convex hull
2.	Triangulation
3.	Voronoi diagram
4.	Nearest neighbor search
5.	Range search
6.	Point location
7.	Line segment intersection
8.	Polygon intersection detection
9.	Polygon partitioning
10.	Simplifying polygons
11.	BSP tree and quadtree
12.	Finding the shortest route
13.	Minkowski sum
","","","","",English,"",A,N,N,"","","",N,A,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
BP,KI,2024,Bachelor Thesis,Bachelor Thesis,A,A,A,K,"",12,NO,"","'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","'doc. RNDr. Mgr. Viktor Maškov, DrSc.' (100)",2239,"","","","","","","","","","","","","","",KI/XBP1,"","",KI/BP1,"","",N,0,HOD/TYD,0,HOD/TYD,0,HOD/TYD,This course is aimed to a control of a working at student's bachelor thesis.,Pre-Exam Credit,NO,Combined,Zadání záv. práce a postup činnosti na záv. práci podle požadavků vedoucího práce.,"","","","","",Czech,"",A,N,N,"","","",N,N,"",0,"",Bc.,A,"",ZS,0,"","","",0,0,0
BPP,KI,2024,Bachelor Thesis,"Bachelor Thesis
",A,A,A,K,"",12,NO,"","","","","","","","","","","","","","","","'prof. Sergii Babichev, DSc.', 'Mgr. Kamil Balín', 'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Ing. Mgr. Pavel Beránek', 'Mgr. Jiří Fišer, Ph.D.', 'Ing. Petr Haberzettl', 'RNDr. Jan Krejčí, Ph.D.', 'Ing. Pavel Kuba, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3416, 1165, 449, 6973, 251, 1780, 2776, 2317, 650, 2239, 3521, 267, 835, 6259, 2220","","","","","","","",A,0,HOD/TYD,0,HOD/TYD,0,HOD/TYD,"",Pre-Exam Credit,NO,Combined,"","","","","","",Czech,"",A,N,N,"","","",A,A,"",0,"",Bc.,A,0,ZS,0,"","","",0,0,0
BP2O,KI,2024,Bachelor Thesis,Bachelor Thesis,A,A,A,K,"",6,NO,"","","","","","","","","","","","","","","","'prof. Sergii Babichev, DSc.', 'Mgr. Kamil Balín', 'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Ing. Mgr. Pavel Beránek', 'Mgr. Jiří Fišer, Ph.D.', 'Ing. Petr Haberzettl', 'RNDr. Jan Krejčí, Ph.D.', 'Ing. Pavel Kuba, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3416, 1165, 449, 6973, 251, 1780, 2776, 2317, 650, 2239, 3521, 267, 835, 6259, 2220","","","","","","","",N,0,HOD/TYD,0,HOD/TYD,0,HOD/TYD,"Cílem kurzu je již vlastní práce na bakalářské práci. Úkoly nutné ke splnění tohoto předmětu určuje vedoucí bakalářské
práce a student je musí splnit pro zdárné splnění tohoto předmětu.
Vyžaduje se aktivní konzultace a spolupráce s vedoucím bakalářské práce a průběžné plnění jím zadaných úkolů.",Pre-Exam Credit,NO,Combined,"Zápočet uděluje vedoucí práce po splnění zadaných úkolů, např. po zhodnocení vykonané práce a získaných výsledků.","","","","","",Czech,"",A,N,N,"","","",A,A,"",0,"",Bc.,A,0,ZS,0,"","","",0,0,0
DP2O,KI,2024,Master´s Thesis,Master´s Thesis,A,A,A,K,"",10,NO,"","","","","","","","","","","","","","","","'prof. Sergii Babichev, DSc.', 'Mgr. Kamil Balín', 'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Ing. Mgr. Pavel Beránek', 'Mgr. Jiří Fišer, Ph.D.', 'Ing. Petr Haberzettl', 'RNDr. Jan Krejčí, Ph.D.', 'Ing. Pavel Kuba, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.', 'Mgr. Květuše Sýkorová', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3416, 1165, 449, 6973, 251, 1780, 2776, 2317, 650, 2239, 3521, 267, 835, 6259, 2220","","","","","","","",N,0,HOD/TYD,0,HOD/TYD,0,HOD/TYD,"Cílem kurzu je vlastní práce na diplomové práci. Úkoly nutné ke splnění tohoto předmětu určuje vedoucí diplomové práce a student je musí splnit pro zdárné splnění tohoto předmětu.
Vyžaduje se aktivní konzultace a spolupráce s vedoucím diplomové práce a průběžné plnění jím zadaných úkolů.",Exam,NO,Combined,"Zápočet uděluje vedoucí práce po splnění zadaných úkolů, např. po zhodnocení vykonané práce a získaných výsledků.","","","","","",Czech,"",A,N,N,"","","",A,N,"",0,"",Mgr.,A,0,ZS,0,"","","",0,0,0
EDAV,KI,2024,Data Analysis and Visualisation,Data Analysis and Visualisation,A,A,A,K,"",9,NO,"","","","","'doc. RNDr. Zbyšek Posel, Ph.D.', 'Ricardo Rodriguez Jorge, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'Ricardo Rodriguez Jorge, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 8514, 2220","'doc. RNDr. Zbyšek Posel, Ph.D.', 'Ricardo Rodriguez Jorge, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. RNDr. Zbyšek Posel, Ph.D.' (100), 'Ricardo Rodriguez Jorge, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3521, 8514, 2220","","","","","","","","","","","","","","",N,3,HOD/TYD,3,HOD/TYD,0,HOD/TYD,"The course focuses on the presentation of information that are necessary to the basic and comprehensive evaluation of the data. Emphasis is placed on gaining the ability to visualize data by appropriate means. An integral part of the course is the practical application of theoretical knowledge on available data using appropriate software tools (typically Python, R, Matlab, Excel).",Exam,NO,Combined,"basics of procedural programming (conditional statements, loops, procedures)
elementary algebra and calculus
","1. Introduction to Matlab
2. Programming and plotting in Matlab
3. Matrices and matrix operation in Matlab
4. Function of one real variable, numerical differentiation and integration
5. Ordinary differential equations
6. Signal and image processing: filtering, transformation (Fourier, wavelets)
7. Introduction to R: data structures, writing functions, control statements, loops, data manipulation, plots etc.
8. Basic concepts of descriptive statistics: methods of data processing, frequency distribution (histogram, polygon)
9. The statistical analysis of univariate data: moment/quantile measures of central tendency, variability, skewness and kurtosis
10. Statistical analysis of multivariate data: correlation, factor and cluster analysis
11. Regression analysis: linear and nonlinear regression models
12. Analysis of time series: graphical analysis, decomposition, autocorrelation, trend modeling
13. Summary of selected techniques of static and dynamic visualization
","","","","",English,"",A,N,A,"","","",N,N,"",0,"","",A,0,ZS,0,"","","",0,0,0
ENME,KI,2024,Numerical Methods,Numerical Methods,A,A,A,K,"",7,NO,"","'prof. Sergii Babichev, DSc.'","'prof. Sergii Babichev, DSc.'",3416,"'prof. Sergii Babichev, DSc.', 'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 650, 2220","'prof. Sergii Babichev, DSc.', 'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","'prof. Sergii Babichev, DSc.' (100), 'RNDr. Petr Kubera, Ph.D.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","3416, 650, 2220","","","","","","","","","","","","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,Introduction to numerical mathematics for students of computer science.,Exam,NO,Combined,"Basic from linear algebra (vectors, matrices, vector spaces) and  analysis.","1. Function approximation, Lagrange interpolation 
2. Definition of spline function, interpolation via spline-construction, derivation 
3. Numerical quadrature, Newton-Cotes rules 
4. Romberg's quadrature method, Gaussian quadrature rules 
5. Method for nonlinear equations, Newton's (Newton-Rhapson) method 
6. Fixed point method, root finding for polynomials, Horner scheme 
7. System of linear equation, conditional number, Gaussian elimination 
8. LU factorization, Cholesky and QR factorization 
9. Basic iterative methods for the solution of linear algebraic equations 
10. Eigenvalues of matrix, power method 
11. Numerical solution of ODE, one step methods, Runge-Kutta methods 
12. Gradient methods 
","","","","",English,"",A,N,A,2/2 per week,"","",N,N,"",0,"","",A,0,ZS,0,"","","",0,0,0
EPDSA,KI,2024,Advanced Data Structures and Algorithms,Advanced Data Structures and Algorithms,A,A,N,K,"",7,NO,"","'prof. Sergii Babichev, DSc.'","'prof. Sergii Babichev, DSc.'",3416,"'prof. Sergii Babichev, DSc.'","'prof. Sergii Babichev, DSc.' (100)",3416,"'Mgr. Jiří Fišer, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'RNDr. Jiří Škvor, Ph.D.'","'Mgr. Jiří Fišer, Ph.D.' (100), 'doc. RNDr. Mgr. Viktor Maškov, DrSc.' (100), 'RNDr. Jiří Škvor, Ph.D.' (100)","251, 2239, 2220","","","","","","","","","","","","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,"The lectures focus on the formal description of algorithms and examples of their application in practice. In the course of the exercises, individual algorithms are implemented or their implementation in standard libraries is discussed (comparison of implementation efficiency) and their practical use is suggested.",Exam,NO,Combined,"Exam: preparation and oral defense of a seminar work (implementation of a non-trivial data structure or algorithm) + oral examination focusing on the practical use of algorithms and data structures in Python/R

Prerequisites: basics of procedural programming (loops, procedures), elementary data types (numbers, string, booleans), principles of efficient data representation (hashes, binary trees)
","1. Theoretical foundations of algorithmization: asymptotic complexity (Landau asymptotic notation), locality principle (implications for caches)
2. Data structures: basic principles, linear data structures, hash tables (hash functions), sparse arrays
3. Data structures: tree structures (binary ordered trees, heaps), tree balancing
4. Data structures: graphs (Fibonacci heaps, weighted graphs)
5. Recursive algorithms: divide and conquer (quick sort, merge sort, closest pair of points)
6. Recursive algorithms: dynamic programming
7. Greedy algorithms: deterministic greedy algorithms (e.g., finding the skeleton of a graph)
8. Greedy algorithms: heuristics (the traveling salesman problem)
9. Probabilistic algorithms: pseudo-random number generators, randomized data structures and classical algorithms, Monte Carlo methods
10. Computational geometry: convex hull, Delaunay triangulation, Voronoi diagram
11. Computational geometry: BSP tree, quadtree/octree and R-tree, Minkowski sum and its applications
12. Cluster analysis: hierarchical clustering, density clustering (DBSCAN), centroid clustering (k means), graph algorithms (cliques)
13. Text processing (suffix trees, string distance, approximate pattern matching)
","","","","",English,"",A,N,A,2/2 per week,"","",N,N,"",0,Mgr.,Mgr.,A,0,ZS,0,"","","",0,0,0
EPNUM,KI,2024,Advanced Numerical Methods,Advanced Numerical Methods,A,A,N,K,"",8,NO,"","'RNDr. Petr Kubera, Ph.D.'","'RNDr. Petr Kubera, Ph.D.'",650,"'RNDr. Petr Kubera, Ph.D.'","'RNDr. Petr Kubera, Ph.D.' (100)",650,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Jiří Škvor, Ph.D.'","'doc. Ing. Mgr. Jiří Barilla, CSc.' (50), 'RNDr. Jiří Škvor, Ph.D.' (50)","449, 2220","","","","","","","","","","","","","","",N,2,HOD/TYD,2,HOD/TYD,0,HOD/TYD,This course is an extension of the basic course of numerical methods with respect to numerical linear algebra and parts used in machine learning.,Exam,YES,Combined,"Prerequisites: Basics from linear algebra (vectors, matrices, vector spaces) and analysis and basic principles of numerical method","1. Sources of numerical errors, the numerical stability of algorithms
2-3. System of linear equations, conditional number, Gaussian elimination 
LU factorization, Cholesky and QR factorization 
4-5. Iterative methods for the solution of linear algebraic equations: Jacobi method, Gauss-Seidel method, SOR, steepest descent method and conjugate gradient method.
6-7. Eigenvalues of the matrix: partial eigenvalues problem - power method, full eigenvalues problem QR iteration
8. Singular Value Decomposition ? SVD: computation and applications
9. Method for nonlinear equations, Newton's (Newton-Rhapson) method, fixed point method, etc.
10. Root finding for polynomials, Horner scheme
11. Principles of numerical quadrature: Newton-Cotes rules, Romberg's quadrature method, Gaussian quadrature rules, MC and adaptive methods
12. Principles of numerical solution of ODEs: one-step methods, Runge-Kutta methods, stiff system, stability, etc.
13. Function interpolation and approximation: Lagrange interpolation, cubic spline interpolation, Chebychev approximation

","","","","",English,"",A,N,A,2/2 per week,"","",N,N,"",0,Mgr.,Mgr.,A,0,ZS,0,"","","",0,0,0
